asset_id,reader_order,resource_title,metadata_title,repository,description_url,original_url,selected_url,selected_form,local_path,local_bytes,local_sha256,authority_witness_path,authority_witness_bytes,authority_witness_sha256,local_width,local_height,frame_count,original_bytes,original_sha1,original_width,original_height,mime,media_type,source_timestamp,uploader,artist,credit,license_short,usage_terms,license_url,attribution_required,course_credit_author,course_credit_user,course_credit_repository,course_credit_license_label,course_credit_source_filename_label,source_course_creator,source_course_license,description_pageid,description_revid,description_parentid,description_timestamp,description_mediawiki_sha1,description_wikitext_bytes,description_wikitext_sha256,html_animation_preserved
br-ak-u27-media-001,1,File:Loewenzahn_20.jpg,File:Loewenzahn 20.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Loewenzahn_20.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Loewenzahn_20.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Loewenzahn_20.jpg,original,authority/assets/Loewenzahn_20.jpg,840757,8b906e3ef135ef3b07c93cdc053ea45155bf6de0d7c6a209d1b7a0746c03f7d7,authority/wikiversity/unit-27/assets/Loewenzahn_20.jpg,840757,8b906e3ef135ef3b07c93cdc053ea45155bf6de0d7c6a209d1b7a0746c03f7d7,2288,1712,1,840757,5f0f9dcad9abd11a27b28b77847226c65785e42a,2288,1712,image/jpeg,BITMAP,2007-04-28T22:16:58Z,Waugsberg,Waugsberg,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,Waugsberg,,Commons,CC-BY-SA-2.5,Loewenzahn 20.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,2016480,1247205786,1145516218,2026-07-13T06:22:34Z,580150be0321eb5c5306677d51f457ac92222489,320,abae740c06e0167a230f394f28673c7212c3893422d3abe6798ca6359c040e3e,False
br-ak-u27-media-002,2,File:Projektiveline1bb.jpg,File:Projektiveline1bb.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Projektiveline1bb.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Projektiveline1bb.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Projektiveline1bb.jpg,original,authority/assets/Projektiveline1bb.jpg,723518,f6feb42ac3b37d3d1ed8b7826f901b88fac64c0a2fdd8245a178b18e068b61b6,authority/wikiversity/unit-27/assets/Projektiveline1bb.jpg,723518,f6feb42ac3b37d3d1ed8b7826f901b88fac64c0a2fdd8245a178b18e068b61b6,1920,1080,1,723518,6cdf4d9ba1caac42c678b0de7fb8f91be1d3bd00,1920,1080,image/jpeg,BITMAP,2009-02-09T18:56:39Z,Darapti,Darapti,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,true,Darapti,,Commons,CC-BY-SA-3.0,Projektiveline1bb.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,5909039,1252904590,1243185432,2026-07-27T20:23:29Z,21bb191b5ea1963f0185fbc05d9a2b7c924080f8,355,5fa4dd9f2bc0878ef6661f855c098811560bff742008f7cc574eb5444f08fa40,False
br-ak-u27-media-003,3,File:Projektiveline2bb.jpg,File:Projektiveline2bb.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Projektiveline2bb.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Projektiveline2bb.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Projektiveline2bb.jpg,original,authority/assets/Projektiveline2bb.jpg,777323,40664e9c2f5f63fa03947df2bb120bc5427380cc7db8c14d39f4cc415c6beaea,authority/wikiversity/unit-27/assets/Projektiveline2bb.jpg,777323,40664e9c2f5f63fa03947df2bb120bc5427380cc7db8c14d39f4cc415c6beaea,1920,1080,1,777323,7a8ca057dc79e8d902c9ab59a60dd653efc7bb53,1920,1080,image/jpeg,BITMAP,2009-02-09T19:05:59Z,Darapti,Darapti,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,true,Darapti,,Commons,CC-BY-SA-3.0,Projektiveline2bb.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,5909093,1252904648,1100106079,2026-07-27T20:23:34Z,5c611c6e3b996af11ec8d4e77ff3dcbe022a312f,386,ec1b121b2102bdf5c657193665318509a6eb805891abc5c450e5986c1b881597,False
br-ak-u27-media-004,4,File:Projektiveline3bb.jpg,File:Projektiveline3bb.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Projektiveline3bb.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Projektiveline3bb.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Projektiveline3bb.jpg,original,authority/assets/Projektiveline3bb.jpg,808222,ef5b0c0b0e34a7b947a946bda22d04d5ed11ecb2b88d5e0256f22dcd28e594b2,authority/wikiversity/unit-27/assets/Projektiveline3bb.jpg,808222,ef5b0c0b0e34a7b947a946bda22d04d5ed11ecb2b88d5e0256f22dcd28e594b2,1920,1080,1,808222,64cffcd438c46cf135088bea91e4fd0dfe1ae379,1920,1080,image/jpeg,BITMAP,2009-02-09T19:03:08Z,Darapti,Darapti,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,true,Darapti,,Commons,CC-BY-SA-3.0,Projektiveline3bb.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,5909079,1252904680,1243373728,2026-07-27T20:23:37Z,7ad396573b84177606bc4dd11eab321c7922267e,387,ddb847ed2f57fc0fc417b713cdd592d88d6274304cf2f501288087a16a68eb32,False
br-ak-u27-media-005,5,File:Projektiveplane1bb.jpg,File:Projektiveplane1bb.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Projektiveplane1bb.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Projektiveplane1bb.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Projektiveplane1bb.jpg,original,authority/assets/Projektiveplane1bb.jpg,737889,5845a36699676293242090f7499daf7f033aed559590b2e61cdab0f4c635f23c,authority/wikiversity/unit-27/assets/Projektiveplane1bb.jpg,737889,5845a36699676293242090f7499daf7f033aed559590b2e61cdab0f4c635f23c,1920,1080,1,737889,371aa3d8b9a7c429563c80c624764897dfb01787,1920,1080,image/jpeg,BITMAP,2009-02-09T19:16:23Z,Darapti,Darapti,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,true,Darapti,,Commons,CC-BY-SA-3.0,Projektiveplane1bb.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,5909161,1252904952,1072444930,2026-07-27T20:24:00Z,b05c8806e704797c56344d477f74fa7015da228a,387,8a3ef23ab948f54b81275f2705c95fda8d31d8d604fc4eaedba80014284b55f9,False
br-ak-u27-media-006,6,File:Projektiveplane2bb.jpg,File:Projektiveplane2bb.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Projektiveplane2bb.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Projektiveplane2bb.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Projektiveplane2bb.jpg,original,authority/assets/Projektiveplane2bb.jpg,789468,784560087dcdcae0ef62505c865bd86db3ebf72a71fb674615ed6e55e2ca782d,authority/wikiversity/unit-27/assets/Projektiveplane2bb.jpg,789468,784560087dcdcae0ef62505c865bd86db3ebf72a71fb674615ed6e55e2ca782d,1920,1080,1,789468,6a959ba6bac06b673a4252bb0e5ce8b1eaab5d82,1920,1080,image/jpeg,BITMAP,2009-02-09T19:19:41Z,Darapti,Darapti,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,true,Darapti,,Commons,CC-BY-SA-3.0,Projektiveplane2bb.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,5909182,1252905099,1243372688,2026-07-27T20:24:16Z,f25b67bdcf431d8b6febb87d4647d0717b5a5892,387,53dae54875101031110fd9e290201d1ad0e46d00c89f9d56413fb0a6ec7952af,False
br-ak-u27-media-007,7,File:Projektiveplane3bb.jpg,File:Projektiveplane3bb.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Projektiveplane3bb.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Projektiveplane3bb.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Projektiveplane3bb.jpg,original,authority/assets/Projektiveplane3bb.jpg,801410,7a5642c90b40cae72a66b4f2cfc1804e1a0abf4a64f9d41769b1e5694b824afb,authority/wikiversity/unit-27/assets/Projektiveplane3bb.jpg,801410,7a5642c90b40cae72a66b4f2cfc1804e1a0abf4a64f9d41769b1e5694b824afb,1920,1080,1,801410,c0471b85d6e56d547f0976b6c7dee7a24ca49547,1920,1080,image/jpeg,BITMAP,2009-02-09T19:21:41Z,Darapti,Darapti,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,true,Darapti,,Commons,CC-BY-SA-3.0,Projektiveplane3bb.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,5909193,1252905074,1243372961,2026-07-27T20:24:13Z,0208b8a7cc57da42ede1e43ee36b54fae900ae65,387,53dae54875101031110fd9e290201d1ad0e46d00c89f9d56413fb0a6ec7952af,False
br-ak-u27-media-008,8,File:Projektiveplane4bb.jpg,File:Projektiveplane4bb.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Projektiveplane4bb.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Projektiveplane4bb.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Projektiveplane4bb.jpg,original,authority/assets/Projektiveplane4bb.jpg,839639,92ad7dfff6cdf2ba0fb6b361444cfd4ed9663a5ae59b1d555604533025fdafd9,authority/wikiversity/unit-27/assets/Projektiveplane4bb.jpg,839639,92ad7dfff6cdf2ba0fb6b361444cfd4ed9663a5ae59b1d555604533025fdafd9,1920,1080,1,839639,4606cf629f10e387a589d03597f85fa991902068,1920,1080,image/jpeg,BITMAP,2009-02-09T19:23:02Z,Darapti,Darapti,Own work,CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,true,Darapti,,Commons,CC-BY-SA-3.0,Projektiveplane4bb.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,5909201,1252905141,1185953024,2026-07-27T20:24:21Z,16ae02d6a109c7913e6e4a47bf4be7346c5ff503,407,8c09b1537656b78eff124d8cf336b2a3f86d1dbf029a68d5ef3ee66118fbe2e4,False
br-ak-u27-media-009,9,File:Perspective_Projection_Principle.jpg,File:Perspective Projection Principle.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Perspective_Projection_Principle.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Perspective_Projection_Principle.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Perspective_Projection_Principle.jpg,original,authority/assets/Perspective_Projection_Principle.jpg,53956,38ced602230489102e8cd69886e3dfd609539606ac4c702d7c930b384d119a6c,authority/wikiversity/unit-27/assets/Perspective_Projection_Principle.jpg,53956,38ced602230489102e8cd69886e3dfd609539606ac4c702d7c930b384d119a6c,800,368,1,53956,0f33c6c4dc3f95ba2723e6c777deab3ecdb37e0a,800,368,image/jpeg,BITMAP,2005-09-24T09:59:43Z,Fantagu,Joachim Baecker,Drawing by Joachim Baecker 2005/09/23 (Commons description page),CC BY-SA 3.0,Creative Commons Attribution-Share Alike 3.0,http://creativecommons.org/licenses/by-sa/3.0/,true,,Fantagu,Commons,CC-BY-SA-3.0,Perspective Projection Principle.jpg,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,337435,488715640,142246843,2020-10-13T14:33:49Z,833c5f24aef7a02e7b86022ec941b7126ebec155,273,959ca17b603ff32c40a3ca4c4550d7848013775af0442a19dd2f881957b4806e,False
br-ak-u27-media-010,10,File:Blue-sphere.png,File:Blue-sphere.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Blue-sphere.png,https://upload.wikimedia.org/wikipedia/commons/9/93/Blue-sphere.png,https://upload.wikimedia.org/wikipedia/commons/9/93/Blue-sphere.png,original,authority/assets/Blue-sphere.png,123336,5024f8120e040b6f5d40141cc3109c703eda56cb8cdf133d0ef0d11ee7dbb733,authority/wikiversity/unit-27/assets/Blue-sphere.png,123336,5024f8120e040b6f5d40141cc3109c703eda56cb8cdf133d0ef0d11ee7dbb733,960,960,1,123336,c86a035254ed60c637f822c1357973878b860763,960,960,image/png,BITMAP,2006-10-04T01:59:44Z,LucasVB,Lucas Vieira,Own work,Public domain,Public domain,,false,,Kieff,Commons,PD,Blue-sphere.png,Holger Brenner / Wikiversity course page,CC BY-SA 4.0,1243724,1041208370,826671531,2025-06-07T16:42:42Z,daf418a13ef72190e6ecab86e2a481aac01d66ee,382,66709db93144a5db1d45cf367df5f34c7161a2e66ec253e24f05851d0e028e0b,False
